DISTRICT	DISTNAME	CONST	CANDIDATE_NAME	AGE	SEX	PARTYNAME	SYMBOLNAME	TOTALVOTE
1	ताप्लेजुंग	1	भुपेन्द्र  थेबे	55	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	7434
1	ताप्लेजुंग	1	लिला देवी बोखिम लिम्बु	48	F	नेपाली काँग्रेस	रुख	7295
1	ताप्लेजुंग	1	सञ्चपाल  मादेन	41	M	एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)	गोलाकारभित्र हँसिया हथौडा 	6279
1	ताप्लेजुंग	1	अमिर  मादेन	50	M	राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 	गाई	1004
1	ताप्लेजुंग	1	चन्द्र  मादेन	40	M	राष्ट्रिय प्रजातन्त्र पार्टी 	हलो	418
1	ताप्लेजुंग	1	धन कुमार लिम्बु	32	M	संघीय लिम्बुवान राज्य परिषद	झण्डाभित्र फुल	269
1	ताप्लेजुंग	1	सुवास  पालुङवा	41	M	सङ्घीय समाजवादी पार्टी, नेपाल	गोलाकार भित्र छाता	168
1	ताप्लेजुंग	1	पदम प्रकाश एङदेन	42	M	राष्ट्रिय जनमुक्ति पार्टी 	घर	156
1	ताप्लेजुंग	1	राम चन्द्र परा लिम्बु	26	M	संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल	डम्फु	89
1	ताप्लेजुंग	1	सरस्वती  सुब्बा	37	F	मंगोल नेशनल अर्गनाइजेशन 	कुखुराको भाले 	61
1	ताप्लेजुंग	1	लक्ष्मी  विश्वकर्मा	30	M	नेपाल परिवार दल 	साँचो	47
1	ताप्लेजुंग	2	डम्बरध्वज  तुम्बाहाम्फे	55	M	नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)	सूर्य	7034
1	ताप्लेजुंग	2	प्रताप प्रकाश हाङगाम	60	M	नेपाली काँग्रेस	रुख	4874
